MS,target,T,N,size
1,1,3,1,2.3
1,0,3,0,5
1,1,3,1,2
1,1,4,1,5.5
1,1,4,1,3
1,1,3,1,1.5
1,1,3,1,3
0,1,3,1,2
1,0,3,0,1
1,0,3,0,1.6
1,1,4,1,1.6
1,1,3,1,4
1,0,4,0,1
1,1,3,0,1
1,1,4,1,2
1,0,3,0,1.5
0,1,4,1,3
1,1,4,1,4
1,0,4,0,3
1,1,3,1,1
1,1,4,1,3
1,1,4,1,3.1
0,1,4,1,2
1,1,4,1,6
0,1,4,1,1
0,1,4,1,6
0,1,4,1,2.5
1,0,4,0,1.3
1,1,3,0,3
0,1,4,1,3
1,1,4,1,2.7
1,1,4,0,3
0,1,4,1,6
1,1,3,1,4
0,1,3,1,1.5
0,1,4,1,3
1,0,2,0,2
1,1,4,1,4
1,1,4,1,1
0,1,4,1,2.7
0,1,3,1,2
1,0,2,0,1.6
0,1,4,0,3.3
0,1,3,1,4
1,1,4,1,2.4
1,0,3,0,3.2
1,0,1,0,1.8
1,0,1,0,1.5
0,1,4,1,5
1,0,3,0,2
1,0,4,0,1.8
0,1,4,1,6
1,1,4,1,3.7
0,1,4,1,2.2
0,1,3,1,1.8
0,1,4,1,3.5
0,1,4,1,3
0,1,3,1,3
1,1,4,1,1
0,1,3,1,3
1,1,4,1,4
1,1,4,1,2
0,1,4,1,2.5
1,0,3,0,2.3
0,1,4,1,2
1,1,4,1,7
1,1,4,1,4
1,0,3,0,2.4
1,0,4,0,1
0,1,4,1,3.5
1,0,4,0,4
0,1,3,0,6
1,0,2,0,2
1,1,4,1,2.1
1,1,4,1,2
0,1,3,1,2.3
0,1,4,1,1.6
1,1,3,1,1.5
1,1,4,1,2
1,0,4,0,2.5
0,1,4,1,3
0,1,4,1,4
1,1,4,1,3
1,0,3,0,1.5
0,1,3,1,3.7
1,0,4,0,2.5
1,0,2,1,1
1,0,3,0,1
1,1,4,1,1.8
1,1,4,1,2
1,0,4,1,1
1,0,2,0,1.2
1,0,4,0,3
0,1,3,1,1.3
1,0,4,1,3
1,1,4,1,1.3
1,0,4,0,1
1,1,4,1,3
1,1,4,1,2.7
0,1,3,1,2.1
1,0,4,0,2
0,1,3,1,2.2
0,1,4,1,2
0,1,4,0,2
0,1,4,1,2.4
1,1,4,1,5
1,1,4,1,1
0,1,4,1,5.4
0,1,4,1,1.5
1,0,4,1,1
0,1,4,1,2.5
0,1,4,1,2.8
0,1,4,1,2
1,0,4,0,2.5
0,1,4,1,2.6
0,1,4,1,1.7
1,0,4,0,2.3
1,1,4,1,3.1
0,1,4,0,2.2
1,1,4,1,3
1,1,4,1,3
1,1,4,1,1.5
1,1,4,1,2
1,1,4,1,3.3
0,1,4,1,3
1,0,3,0,1.9
1,0,4,0,1.3
0,1,4,1,2
1,1,4,1,1.3
1,0,4,0,1.6
1,1,4,1,1.5
1,1,4,1,1
0,1,3,1,2.4
0,1,4,1,4
0,1,3,0,4
1,1,4,1,1
0,1,4,1,2.1
0,1,3,1,4
1,0,4,0,1.5
0,1,4,1,2
1,0,4,0,1.7
1,1,3,1,5
1,1,3,1,1.7
1,1,4,1,3
0,1,3,1,2
1,1,4,1,2
1,0,3,0,3
1,1,3,1,3.7
1,1,4,1,2
1,1,3,1,1.8
0,1,4,1,2
1,1,4,1,3.5
1,0,4,0,1.8
0,1,3,1,3
1,0,3,1,2
0,1,4,1,3
1,0,4,0,2.5
0,1,4,1,3
0,1,3,1,5
0,1,4,1,1.8
1,0,4,0,3
0,1,4,1,3
1,0,4,1,1.5
0,0,2,0,1
1,1,4,1,1.7
0,1,3,1,1.5
0,0,3,1,1.8
0,1,4,1,1
1,0,4,0,1.8
0,1,3,1,1.5
0,1,4,1,8
0,0,3,0,1.5
0,1,4,1,6
1,1,4,1,3
1,0,3,0,1.8
0,1,4,1,2.5
0,1,4,1,2
0,0,2,0,3
1,1,4,1,2
0,1,3,1,2
1,1,4,1,3.5
0,1,3,1,2
0,1,4,1,1
0,1,4,1,4
0,1,3,1,2
1,1,3,1,1.5
0,1,4,1,1.5
0,0,4,0,1.8
0,1,4,1,4
0,0,3,0,1
0,1,3,1,6
0,0,3,0,4
0,1,4,1,3.9
0,1,4,1,2
0,1,4,1,4
1,1,3,1,1.7
1,1,4,1,3
0,1,4,1,1.5
1,1,4,1,1.2
0,1,4,1,4.4
1,1,3,1,2.7
0,1,3,1,1
0,1,3,1,1.9
0,1,4,1,2.5
1,1,4,1,3
0,0,3,0,1.3
0,1,4,1,5.8
0,1,4,1,2.3
0,0,4,0,2
0,1,4,1,2
0,1,4,1,3
1,1,3,0,2.2
0,1,4,1,3.3
1,0,3,0,1.5
0,1,3,1,2
0,1,4,1,2
0,0,3,0,2
0,0,4,0,2.6
0,1,4,1,2.2
0,1,4,1,4.2
0,1,3,1,2
0,1,4,1,5
1,0,4,0,1.8
0,1,4,1,4
0,1,2,1,2.5
0,1,4,1,1.8
0,1,4,1,6
1,0,4,0,1.5
0,1,4,1,1.8
0,1,4,1,1
0,1,3,1,4
1,1,3,1,1.7
1,0,3,1,2
1,1,3,1,2.2
0,1,4,1,2.7
0,0,3,0,1
0,0,3,1,2.5
0,1,4,1,1
0,1,4,0,2.1
0,1,3,1,1.3
1,1,3,1,5
1,1,3,1,7
1,1,3,1,2
1,1,4,1,1
0,0,2,0,1.2
0,1,4,1,3
0,0,4,0,3
1,1,4,1,3
0,1,4,0,2.1
1,0,4,0,1.5
1,1,4,1,2.3
1,0,4,0,5
0,0,3,0,3.7
1,1,4,1,2
0,1,4,0,3
0,1,3,0,2
0,1,4,1,3
0,1,4,1,2.5
0,1,4,1,4.5
0,0,4,0,1.5
0,1,4,0,2
1,1,3,1,2
0,1,4,1,4.4
0,1,4,0,1.5
0,1,4,1,2
0,0,3,0,2
0,1,3,1,3
0,1,4,0,3
0,1,4,1,2.1
0,1,4,1,3.2
0,1,3,1,2
0,1,4,1,3
0,0,3,0,1.5
1,1,4,1,3
1,1,4,1,4
0,1,3,1,4
1,1,4,1,1.5
0,1,4,1,6
0,1,4,1,3
1,1,4,1,4
1,1,4,1,2
1,0,3,1,1.5
1,1,4,1,5
0,1,4,1,4
0,0,3,0,2.2
1,1,4,1,3
1,1,4,1,2.4
1,1,4,1,2.5
1,1,4,1,3
1,1,4,1,2
0,1,3,1,2.5
0,1,4,1,3
0,0,3,0,2
1,1,4,1,1
0,1,4,1,2.3
0,1,4,1,2
0,1,3,1,3.5
1,1,3,1,5.5
0,1,3,1,1.5
1,1,4,0,2.8
1,0,2,1,4
1,0,3,0,2.1
0,0,3,0,2.8
1,1,3,1,4
1,1,4,1,4
1,1,4,1,3.8
1,1,4,1,1
1,0,4,0,1.5
1,1,4,0,1.8
1,1,3,1,3
0,1,3,1,4.1
0,1,4,1,4
1,1,4,1,3.7
0,1,3,1,3.5
1,0,2,0,1
0,1,4,1,3.5
1,1,3,1,2.8
0,0,3,0,3.3
1,1,3,1,1.5
0,0,4,0,3
0,1,3,1,3
0,1,3,0,2
1,1,4,1,2.5
1,0,2,0,1
0,0,3,0,1
0,1,3,1,1.5
1,1,3,1,2
0,1,4,1,2
0,0,3,0,2.8
1,1,4,1,2.5
0,1,4,0,4.2
0,1,4,1,3
0,1,4,1,2.3
1,1,3,1,1.5
1,1,4,1,3
0,1,4,1,1.7
0,1,4,1,2
0,1,4,1,2
0,1,4,1,6
0,1,3,1,2.8
0,1,4,1,3
0,1,4,1,1.5
0,1,4,1,2
0,1,4,1,3
0,1,4,1,5
1,1,4,1,2.5
0,1,3,1,2.6
0,1,4,1,3
1,1,3,0,1
1,0,4,0,2
0,1,3,1,3.1
1,1,4,1,1.3
0,1,4,1,2
1,1,4,1,1.5
1,1,4,1,1.2
1,0,4,0,1
0,1,4,1,2.5
0,1,3,1,2
0,1,4,1,2.5
0,1,3,1,3
0,0,3,0,1
1,1,4,1,2.3
0,1,3,1,1.5
1,1,4,1,4
0,1,3,1,3
0,1,4,1,2
1,1,4,1,1.8
1,1,3,1,1.8
0,1,4,1,1.5
1,1,3,1,2
0,1,4,1,2
0,1,4,1,2.1
1,0,3,0,1
1,0,3,0,4.5
0,1,4,1,1.1
0,0,4,1,2
0,1,4,1,3
0,1,3,1,2
1,1,3,1,2.5
1,1,4,0,1
1,1,4,1,2
0,1,3,1,4.2
0,1,4,1,4
0,1,4,1,3
0,1,4,1,2
1,0,4,0,1.3
1,1,4,1,3
1,0,2,1,1.8
0,1,4,1,2
1,0,2,0,1
0,1,4,1,3
0,1,4,1,2.8
0,1,4,1,3
1,0,4,0,2.5
0,1,4,1,2.5
1,0,4,0,1.8
1,1,4,1,7
0,1,2,1,1.3
0,1,4,1,2.5
0,1,3,1,3.8
0,1,3,1,3
0,1,4,1,2.5
0,1,4,1,4
0,1,4,1,2
0,1,4,1,3.5
0,1,4,1,1.4
0,0,4,0,1.5
0,0,4,0,1
1,1,4,1,1.5
1,1,4,1,5
1,1,4,1,1.4
0,1,4,1,6.9
0,1,4,1,2
0,1,4,1,3
0,1,4,1,1
0,1,3,1,3
0,1,4,1,2
0,1,3,1,1.5
0,1,4,1,8
1,0,2,1,1.3
1,1,4,1,2
1,1,4,1,3
0,1,4,1,2
1,1,3,1,3
0,0,4,0,3.5
0,1,4,1,2
0,1,4,1,3.7
0,1,4,1,1.5
1,1,4,1,3
0,1,4,1,1.4
1,1,4,1,2
1,0,4,1,3
0,1,4,1,4.3
1,0,4,0,3.5
1,0,4,0,1
0,1,4,1,3
1,1,3,1,3
0,1,4,1,2
1,1,4,1,1.5
0,0,4,0,1.5
1,0,2,1,1
1,1,3,1,4
1,1,4,1,4
1,0,3,0,1
1,1,4,1,2
0,1,3,1,4
0,1,3,1,3
1,1,3,1,4
1,1,4,0,4
1,1,3,1,4
1,0,3,1,4
0,1,3,1,3
0,0,3,0,3
1,1,3,1,2
0,1,3,1,3
1,1,3,1,3
1,1,3,0,3
0,1,3,1,4
0,1,4,1,5
0,1,3,1,6
0,1,4,1,5
1,1,3,0,2
0,0,4,0,4
0,1,3,1,3
0,1,4,1,3
1,1,2,1,2
0,1,3,1,3
1,1,4,1,4
1,0,4,0,4
0,1,4,1,3
0,0,3,0,3
0,1,4,1,3
1,1,3,1,3
1,1,3,1,6
1,1,3,1,3
0,1,3,1,1.5
0,1,3,1,4
0,1,4,1,4
0,1,3,1,3
0,0,3,1,3
1,1,3,1,3
1,0,3,0,3
1,0,3,1,3
0,1,3,1,4
0,0,3,1,3
0,1,4,1,3
0,1,4,1,3
0,1,4,1,6
0,1,4,1,6
1,1,3,1,3
0,1,4,1,3
0,1,3,1,3
1,0,3,0,1
1,1,3,1,2
0,0,1,0,3
0,1,4,1,3
1,0,2,0,3
1,1,2,0,3.5
0,1,4,1,4
1,1,4,1,5
0,1,3,1,3
1,1,4,1,4
1,1,4,1,2
0,0,3,1,3
0,1,3,1,6
0,1,3,1,4
0,1,3,1,3
0,1,4,1,4
1,1,3,1,3
0,1,4,1,3
0,1,2,0,1.6
0,1,3,1,7
0,0,2,0,4
0,1,3,1,2
0,1,3,1,2
0,1,3,1,3
1,0,3,0,2
0,1,4,1,3
0,1,4,1,3
0,1,4,1,3
1,1,3,1,3
0,1,4,1,4
0,1,4,1,3.5
1,1,4,1,3
0,1,3,1,3
0,1,3,1,2
0,1,3,1,3
0,1,3,1,3
1,0,4,1,3
0,1,3,1,3
1,1,3,1,4
0,0,2,0,2
0,0,4,0,4
1,1,3,1,2
1,1,4,1,6
0,1,4,1,3
0,0,4,0,2
1,1,4,1,6
0,1,3,1,4
0,1,3,1,3
0,1,3,1,4
0,1,4,1,4
0,1,4,1,4
1,0,3,0,3
0,1,3,1,3
0,1,1,1,3
0,1,3,1,3
0,1,4,1,2
0,1,3,1,1
1,1,3,1,4
1,1,4,0,2.5
1,1,3,1,2.5
1,0,3,0,4
0,1,3,1,1.5
0,0,3,0,2.299999952
1,1,3,1,2
0,1,3,1,4
1,1,3,1,2
1,1,3,0,6.5
0,1,3,1,1.5
0,1,4,1,4
0,1,3,1,4
0,1,4,1,5
1,1,3,0,1.5
0,0,4,1,2
0,1,3,1,4
0,1,4,1,3
1,1,2,1,1
0,1,3,1,1.700000048
1,1,4,1,2.5
1,0,4,0,3.799999952
0,1,4,1,4
0,0,3,0,1.5
0,1,4,1,2.5
1,1,3,1,1.5
0,1,3,1,3.799999952
1,1,3,1,2.5
0,1,3,1,1.5
0,1,3,1,3
0,1,4,1,1.700000048
0,1,3,1,1.799999952
0,0,3,1,3
1,1,3,1,1.5
1,0,3,0,1
1,0,3,0,2.200000048
0,1,3,1,5
0,0,3,0,1.100000024
0,1,4,1,1.700000048
0,1,4,1,3.5
0,1,4,1,4
0,1,4,1,2.099999905
1,1,3,1,2.299999952
0,1,4,1,1.700000048
0,1,3,1,5.199999809
1,0,3,0,5.5
1,1,3,1,3.900000095
1,0,2,1,3.299999952
0,1,4,1,6.900000095
1,0,4,0,2
1,1,2,0,1.6
0,1,4,1,4.900000095
1,1,4,1,7.099999905
0,1,3,1,4.800000191
1,1,4,1,4.800000191
1,1,4,1,5
0,0,3,1,4.099999905
0,1,3,1,4.900000095
0,1,3,1,3.700000048
0,1,3,1,1.100000024
0,1,4,1,1.5
1,1,3,1,4.699999809
0,1,4,1,5.199999809
0,1,4,0,5.800000191
0,1,3,1,5
0,0,2,0,5.300000191
0,1,3,1,1.200000048
0,1,3,1,2.900000095
0,1,3,1,1.200000048
1,0,3,0,1.700000048
0,1,4,1,1.899999976
0,1,4,1,1.5
0,1,4,1,1.5
1,1,3,1,2.700000048
0,1,4,1,3.5
0,1,4,1,1.700000048
1,1,4,1,2.099999905
0,1,3,1,2.200000048
0,1,3,1,1.200000048
0,1,3,1,1.350000024
0,1,3,1,1.649999976
0,0,4,0,4
0,1,3,1,1.600000024
1,1,3,1,1.899999976
0,0,2,0,1.600000024
0,0,2,0,2
1,1,3,1,1.700000048
1,1,4,1,4.300000191
0,1,4,1,1.700000048
0,0,2,0,4
1,1,4,1,3.299999952
0,1,3,1,1.299999952
0,1,3,1,1.600000024
0,1,3,1,1.5
0,1,4,1,1.399999976
0,1,4,1,5
1,0,3,0,1.799999952
0,1,3,1,6
0,1,3,1,5
0,1,3,1,2.299999952
0,1,3,1,5.699999809
